number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_solver,state
0,0.6355942526571189,2025-10-05 10:42:23.903196,2025-10-05 10:42:31.513987,0 days 00:00:07.610791,0.002328145687751536,,1204,l2,lbfgs,COMPLETE
1,0.6329723870507543,2025-10-05 10:42:31.673700,2025-10-05 10:42:39.249876,0 days 00:00:07.576176,0.3737738563200569,,1308,l2,liblinear,COMPLETE
2,0.6338664366057606,2025-10-05 10:42:39.388060,2025-10-05 10:42:47.874912,0 days 00:00:08.486852,50.45137859621653,,1138,l2,lbfgs,COMPLETE
3,0.6489802102352009,2025-10-05 10:42:48.015279,2025-10-05 10:42:56.885732,0 days 00:00:08.870453,0.17787066519737127,balanced,547,l2,lbfgs,COMPLETE
4,0.6300534450127389,2025-10-05 10:42:57.057700,2025-10-05 10:43:59.190790,0 days 00:01:02.133090,15.404236733130848,,840,l2,saga,COMPLETE
5,0.6346759597128021,2025-10-05 10:43:59.344179,2025-10-05 10:44:07.458714,0 days 00:00:08.114535,0.009007030062837068,,1025,l2,lbfgs,COMPLETE
6,0.6354132678917298,2025-10-05 10:44:07.765566,2025-10-05 10:44:15.213226,0 days 00:00:07.447660,0.0027336816376046617,,442,l2,lbfgs,COMPLETE
7,0.6490157617826126,2025-10-05 10:44:15.340462,2025-10-05 10:44:23.668851,0 days 00:00:08.328389,0.10298236566703002,balanced,698,l2,lbfgs,COMPLETE
8,0.6490590690451727,2025-10-05 10:44:23.797798,2025-10-05 10:44:31.377919,0 days 00:00:07.580121,0.0024830218269363425,balanced,1173,l2,liblinear,COMPLETE
9,0.6365023221587398,2025-10-05 10:44:31.513790,2025-10-05 10:45:18.417469,0 days 00:00:46.903679,0.0013627950970708143,,1086,l2,saga,COMPLETE
10,0.64859451255493,2025-10-05 10:45:18.558533,2025-10-05 10:45:27.912532,0 days 00:00:09.353999,1.9825659940352178,balanced,1466,l2,liblinear,COMPLETE
11,0.6493515354363507,2025-10-05 10:45:28.069690,2025-10-05 10:45:39.075744,0 days 00:00:11.006054,0.031412127764767796,balanced,745,l2,liblinear,COMPLETE
12,0.6493756703541205,2025-10-05 10:45:39.435911,2025-10-05 10:45:51.277571,0 days 00:00:11.841660,0.024981579056280682,balanced,797,l2,liblinear,COMPLETE
13,0.6492702360167167,2025-10-05 10:45:51.502332,2025-10-05 10:46:02.763443,0 days 00:00:11.261111,0.0392416861992383,balanced,805,l2,liblinear,COMPLETE
14,0.6493673993991544,2025-10-05 10:46:03.017529,2025-10-05 10:46:14.855673,0 days 00:00:11.838144,0.020383010225673105,balanced,660,l2,liblinear,COMPLETE
15,0.6493541116354384,2025-10-05 10:46:15.097034,2025-10-05 10:46:30.569730,0 days 00:00:15.472696,0.016852464081315754,balanced,352,l2,liblinear,COMPLETE
16,0.6485989870059773,2025-10-05 10:46:30.824679,2025-10-05 10:46:44.280444,0 days 00:00:13.455765,0.8904540148346474,balanced,594,l2,liblinear,COMPLETE
17,0.6493163364214458,2025-10-05 10:46:44.724011,2025-10-05 10:48:24.200492,0 days 00:01:39.476481,0.008863441803859772,balanced,907,l2,saga,COMPLETE
18,0.6485939159614571,2025-10-05 10:48:24.348604,2025-10-05 10:48:34.849980,0 days 00:00:10.501376,3.2022354417777272,balanced,597,l2,liblinear,COMPLETE
19,0.6489366317937896,2025-10-05 10:48:35.146660,2025-10-05 10:48:45.692345,0 days 00:00:10.545685,0.0889586737938438,balanced,962,l2,liblinear,COMPLETE
20,0.6486078816723013,2025-10-05 10:48:45.917856,2025-10-05 10:48:56.938327,0 days 00:00:11.020471,0.4407619305312418,balanced,663,l2,liblinear,COMPLETE
21,0.6493168516612633,2025-10-05 10:48:57.103060,2025-10-05 10:49:12.489249,0 days 00:00:15.386189,0.0136916263798262,balanced,370,l2,liblinear,COMPLETE
22,0.6493672638097288,2025-10-05 10:49:12.751208,2025-10-05 10:49:23.858643,0 days 00:00:11.107435,0.02798375779958249,balanced,454,l2,liblinear,COMPLETE
23,0.6492416808836698,2025-10-05 10:49:24.071955,2025-10-05 10:49:35.329450,0 days 00:00:11.257495,0.042747488348377806,balanced,456,l2,liblinear,COMPLETE
24,0.649189533190556,2025-10-05 10:49:35.566973,2025-10-05 10:49:48.099337,0 days 00:00:12.532364,0.006081332492352357,balanced,481,l2,liblinear,COMPLETE
25,0.6493615961717356,2025-10-05 10:49:48.465310,2025-10-05 10:51:36.242710,0 days 00:01:47.777400,0.0895558086654267,balanced,771,l2,saga,COMPLETE
26,0.6493679417568571,2025-10-05 10:51:36.435589,2025-10-05 10:52:02.160550,0 days 00:00:25.724961,0.02792275589997506,balanced,645,l2,liblinear,COMPLETE
27,0.6492019802998328,2025-10-05 10:52:02.302733,2025-10-05 10:52:12.972404,0 days 00:00:10.669671,0.006722154663990466,balanced,864,l2,liblinear,COMPLETE
28,0.648733220537394,2025-10-05 10:52:13.190483,2025-10-05 10:52:24.137053,0 days 00:00:10.946570,0.1643027425630819,balanced,662,l2,liblinear,COMPLETE
29,0.6493398205099725,2025-10-05 10:52:24.388019,2025-10-05 10:52:59.294644,0 days 00:00:34.906625,0.0031551778450919503,balanced,930,l2,saga,COMPLETE
